name,norad,lat,lon,alt_km
TJS-7,49115,-0.5223,-99.5046,35781.8
TJS-14,62804,0.0352,18.5119,35784.6
TJS-20,66142,-3.3284,62.4514,35776.4
TJS-22,66990,-1.2383,66.5043,35787.0
TJS-2,41911,0.8262,66.7013,35783.6
TJS-4,44637,-0.0133,83.4773,35803.4
TJS-10,58204,2.4548,92.1524,35772.4
TJS-15,63157,0.3148,94.1008,35810.8
TJS-5,44978,-0.0023,107.3015,35817.7
TJS-11,59020,-3.6642,113.1147,35848.2
TJS-9,50574,-0.0186,137.1016,35808.4
TJS-19,63924,-3.2652,141.0726,35783.4
TJS-12,62374,-0.5687,146.5241,35795.5
TJS-3,43874,0.7558,148.3145,35787.2
TJS-1,40892,0.0693,155.1004,35811.2
TJS-16,63397,0.1001,160.6183,35794.2
TJS-17,63524,0.0458,164.5806,35792.1
TJS-23,67226,-2.5734,175.7428,35805.7
TJS-6,47613,-0.0811,178.7393,35794.3
